Domian;Phylum;Class;Order;Family;Genus;Species;MP288;MP289;MP290;MP291;MP292;MP293;MP294;MP295;MP296;MP297;MP298;MP299;MP300;MP301;MP302;MP303;MP304;MP305;MP306;MP307;total
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus]_lubricus_group;;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;73
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altererythrobacter;;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;73
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;;;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;37;0;0;0;0;72
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;KF-JG30-B3;KF-JG30-B3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;71
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas;Caenimonas_terrae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;69
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;Betaproteobacteria_bacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;68
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_fonticola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;68
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria;uncultured_bacterium;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;49;0;0;0;6;67
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodopseudomonas;;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;43;66
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1;uncultured_Nitrosomonadaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;63
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandaracinobacter;uncultured_bacterium;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_thermotolerans;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;61
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;61
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;uncultured_beta;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;59
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;uncultured;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;58
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomicrobium;uncultured_bacterium;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58
